Ano,PIB_Rio,PIB_Rio_MM,PIB_BR,PIB_BR_MM,Transf_Rio,Transf_Rio_MM,Transf_BR,Transf_BR_MM,Extrat_Rio,Extrat_Rio_MM,Ext_BR,Extrat_BR_MM,Const_Rio,Const_Rio_MM,Const_BR,Const_BR_MM
2002-01-01,,,,,,,,,,,,,,,,
2003-01-01,-0.009102507217486067,,0.01226703830026521,,0.02659376839856331,,0.02659376839856331,,0.04582793319457901,,0.04582793319457901,,-0.08943216103327711,,-0.08943216103327711,
2004-01-01,0.028162798569310254,0.009530145675912094,0.056566949135441025,0.03441699371785312,0.09082820624324772,0.05871098732090552,0.09082820624324772,0.05871098732090552,-0.004693392446284528,0.02056727037414724,-0.004693392446284528,0.02056727037414724,0.10744948433184276,0.009008661649282823,0.10744948433184276,0.009008661649282823
2005-01-01,0.025746037308822523,0.014935442886882236,0.030139989627612662,0.032991325687772965,0.022427053483178305,0.04661634270832978,0.022427053483178305,0.04661634270832978,0.06807076133135648,0.03640176735988365,0.06807076133135648,0.03640176735988365,-0.020996146263420168,-0.0009929409882848406,-0.020996146263420168,-0.0009929409882848406
2006-01-01,0.03892928666694839,0.03094604084836039,0.036862157403173335,0.041189698722075674,0.012335984523772936,0.041863748083399654,0.012335984523772936,0.041863748083399654,0.06524555474532634,0.04287430787679943,0.06524555474532634,0.04287430787679943,0.002632210589215367,0.02969518288587932,0.002632210589215367,0.02969518288587932
2007-01-01,0.03055463305129469,0.031743319009021866,0.05799208273393863,0.04166474325490821,0.061413150778939496,0.03205872959529691,0.061413150778939496,0.03205872959529691,0.028904142720590942,0.05407348626575792,0.028904142720590942,0.05407348626575792,0.09196993267999232,0.024535332335262505,0.09196993267999232,0.024535332335262505
2008-01-01,0.03431133697134281,0.03459841889652863,0.04676606011228568,0.04720676674979921,0.04149541446215688,0.038414849921623105,0.04149541446215688,0.038414849921623105,0.04113651534738949,0.04509540427110226,0.04113651534738949,0.04509540427110226,0.049072644796042786,0.04789159602175016,0.049072644796042786,0.04789159602175016
2009-01-01,0.021328841333780213,0.02873160378547257,-0.000968540103927773,0.03459653424743218,-0.09263955672756052,0.003423002837845283,-0.09263955672756052,0.003423002837845283,-0.021205491888554695,0.016278388726475246,-0.021205491888554695,0.016278388726475246,0.07021175361281706,0.07041811036295072,0.07021175361281706,0.07041811036295072
2010-01-01,0.04300672633461322,0.03288230154657875,0.06976187417304702,0.03851979806046831,0.0919004256193352,0.013585427784643852,0.0919004256193352,0.013585427784643852,0.1488790365226742,0.05627001999383633,0.1488790365226742,0.05627001999383633,0.1310099609273525,0.08343145311207079,0.1310099609273525,0.08343145311207079
2011-01-01,0.022114692399102465,0.028816753355831965,0.037431422654444324,0.035408252241187856,0.022471841926397618,0.007244236939390765,0.022471841926397618,0.007244236939390765,0.03470195062065695,0.054125165084925486,0.03470195062065695,0.054125165084925486,0.0824735293122727,0.09456508128414742,0.0824735293122727,0.09456508128414742
2012-01-01,0.016176389690234272,0.027099269474649985,0.01611923898678258,0.04110417860475798,-0.023786901012986084,0.030195122177582245,-0.023786901012986084,0.030195122177582245,-0.019401231492246485,0.05472658521702822,-0.019401231492246485,0.05472658521702822,0.03183982461549362,0.08177443828503961,0.03183982461549362,0.08177443828503961
2013-01-01,0.010429432473743727,0.01624017152102682,0.028757584705802808,0.02743608211567657,0.030133010129937965,0.0096059836811165,0.030133010129937965,0.0096059836811165,-0.03186512774516659,-0.005521469538918707,-0.03186512774516659,-0.005521469538918707,0.04495602046471525,0.05308979146416052,0.04495602046471525,0.05308979146416052
2014-01-01,0.014593469370605128,0.013733097178194376,0.004610036541232265,0.016495620077939217,-0.0468703298355434,-0.01350807357286384,-0.0468703298355434,-0.01350807357286384,0.090517013841235,0.01308355153460731,0.090517013841235,0.01308355153460731,-0.02140785367515463,0.018462663801684747,-0.02140785367515463,0.018462663801684747
2015-01-01,-0.02303108020728095,0.000663940545689301,-0.03150078005378931,0.0006222803977485869,-0.084842712127704,-0.03386001061110314,-0.084842712127704,-0.03386001061110314,0.05696521047419534,0.03853903219008792,0.05696521047419534,0.03853903219008792,-0.09004515452229478,-0.022165662577578054,-0.09004515452229478,-0.022165662577578054
2016-01-01,-0.03951058657824491,-0.015982732471640244,-0.029001468499987193,-0.018630737337514747,-0.04767022873656912,-0.059794423566605505,-0.04767022873656912,-0.059794423566605505,-0.01219611277116539,0.045095370514754984,-0.01219611277116539,0.045095370514754984,-0.09984190150599148,-0.07043163656781364,-0.09984190150599148,-0.07043163656781364
2017-01-01,-0.018324340675368367,-0.026955335820298076,0.012542109316504346,-0.01598671307909072,0.023095419068434486,-0.03647250726527954,0.023095419068434486,-0.03647250726527954,0.04923076923076186,0.031333288977930605,0.04923076923076186,0.031333288977930605,-0.09245712915217519,-0.09411472839348715,-0.09245712915217519,-0.09411472839348715
2018-01-01,0.009993790216318965,-0.015947045679098104,0.017561230523811533,0.00036729044677622874,0.013927955335366393,-0.00354895144425608,0.013927955335366393,-0.00354895144425608,0.0038921231366373377,0.013642259865411269,0.0038921231366373377,0.013642259865411269,-0.029918300653595686,-0.07407244377058746,-0.029918300653595686,-0.07407244377058746
2019-01-01,0.004575789809386777,-0.001251586883220875,0.009788809129700704,0.013297382990005527,-0.004258042819093699,0.010921777194902393,-0.004258042819093699,0.010921777194902393,-0.09149494936952418,-0.012790685667374993,-0.09149494936952418,-0.012790685667374993,0.01915077277211208,-0.0344082190112196,0.01915077277211208,-0.0344082190112196
2020-01-01,-0.025570857417830384,-0.003667092464041547,-0.0318408151168138,-0.0014969251544338553,-0.046665147311924726,-0.012331744931884011,-0.046665147311924726,-0.012331744931884011,0.008587822795473654,-0.02633833447913773,0.008587822795473654,-0.02633833447913773,-0.020857212951902793,-0.010541580277795467,-0.020857212951902793,-0.010541580277795467
2021-01-01,0.042217500393015195,0.0070741442615238626,0.04538951623040477,0.007779170081097224,0.03777610364648276,-0.004382362161511888,0.03777610364648276,-0.004382362161511888,0.0359786173591905,-0.015642836404953342,0.0359786173591905,-0.015642836404953342,0.12616405582242174,0.04148587188087701,0.12616405582242174,0.04148587188087701
